baseline,horizon_h,variable,mae,se,err
persistence,12,relative_humidity_2m,1.0,1.0,-1.0
persistence,12,cloud_cover,1.0,1.0,-1.0
persistence,12,wind_speed_100m,1.7,2.8899999999999997,1.7
persistence,12,wind_speed_10m,2.0,4.0,2.0
persistence,12,surface_pressure,0.3000000000000682,0.09000000000004092,-0.3000000000000682
persistence,12,precipitation,0.7,0.48999999999999994,-0.7
persistence,24,temperature_2m,1.0999999999999996,1.2099999999999993,-1.0999999999999996
persistence,24,relative_humidity_2m,7.0,49.0,-7.0
persistence,24,cloud_cover,33.0,1089.0,-33.0
persistence,24,wind_speed_100m,0.3999999999999999,0.15999999999999992,-0.3999999999999999
persistence,24,wind_speed_10m,0.4,0.16000000000000003,0.4
persistence,24,surface_pressure,1.2000000000000455,1.4400000000001092,-1.2000000000000455
persistence,24,precipitation,0.3,0.09,-0.3
persistence,48,temperature_2m,0.8999999999999986,0.8099999999999974,-0.8999999999999986
persistence,48,relative_humidity_2m,10.0,100.0,-10.0
persistence,48,cloud_cover,52.0,2704.0,-52.0
persistence,48,wind_speed_100m,0.5999999999999999,0.3599999999999998,-0.5999999999999999
persistence,48,wind_speed_10m,0.4,0.16000000000000003,-0.4
persistence,48,surface_pressure,1.1000000000000227,1.21000000000005,-1.1000000000000227
persistence,48,precipitation,0.3,0.09,-0.3
persistence,72,temperature_2m,0.1999999999999993,0.039999999999999716,-0.1999999999999993
persistence,72,relative_humidity_2m,12.0,144.0,-12.0
persistence,72,cloud_cover,0.0,0.0,0.0
persistence,72,wind_speed_100m,0.3999999999999999,0.15999999999999992,-0.3999999999999999
persistence,72,wind_speed_10m,0.30000000000000004,0.09000000000000002,-0.30000000000000004
persistence,72,surface_pressure,1.0,1.0,-1.0
persistence,72,precipitation,0.3,0.09,-0.3
climatology,1,temperature_2m,1.286666666666667,1.655511111111112,1.286666666666667
climatology,1,relative_humidity_2m,6.299999999999997,39.68999999999996,6.299999999999997
climatology,1,cloud_cover,14.13333333333334,199.7511111111113,14.13333333333334
climatology,1,wind_speed_100m,1.7499999999999996,3.0624999999999987,1.7499999999999996
climatology,1,wind_speed_10m,0.043333333333333,0.001877777777777749,0.043333333333333
climatology,1,surface_pressure,0.213333333333253,0.045511111111076835,-0.213333333333253
climatology,1,precipitation,0.15000000000000002,0.022500000000000006,0.15000000000000002
climatology,6,shortwave_radiation,210.56666666666672,44338.32111111113,-210.56666666666672
climatology,6,direct_normal_irradiance,418.94999999999993,175519.10249999995,-418.94999999999993
climatology,6,diffuse_radiation,132.4,17529.760000000002,132.4
climatology,6,temperature_2m,2.2200000000000024,4.9284000000000106,-2.2200000000000024
climatology,6,relative_humidity_2m,25.66666666666667,658.777777777778,25.66666666666667
climatology,6,cloud_cover,28.5,812.25,28.5
climatology,6,wind_speed_100m,1.4666666666666677,2.151111111111114,-1.4666666666666677
climatology,6,wind_speed_10m,1.1099999999999994,1.2320999999999986,-1.1099999999999994
climatology,6,surface_pressure,2.123333333333335,4.508544444444451,-2.123333333333335
climatology,6,precipitation,4.25,18.0625,4.25
climatology,12,shortwave_radiation,82.1,6740.409999999999,-82.1
climatology,12,direct_normal_irradiance,268.92333333333335,72319.75921111112,-268.92333333333335
climatology,12,diffuse_radiation,31.099999999999994,967.2099999999997,31.099999999999994
climatology,12,temperature_2m,0.533333333333335,0.2844444444444462,-0.533333333333335
climatology,12,relative_humidity_2m,0.8333333333333286,0.6944444444444365,0.8333333333333286
climatology,12,cloud_cover,4.900000000000006,24.010000000000055,4.900000000000006
climatology,12,wind_speed_100m,2.253333333333334,5.0775111111111135,-2.253333333333334
climatology,12,wind_speed_10m,1.3899999999999997,1.932099999999999,-1.3899999999999997
climatology,12,surface_pressure,1.6800000000000637,2.822400000000214,-1.6800000000000637
climatology,12,precipitation,0.23333333333333361,0.05444444444444457,-0.23333333333333361
climatology,24,temperature_2m,0.12333333333333485,0.015211111111111486,-0.12333333333333485
climatology,24,relative_humidity_2m,1.9000000000000057,3.6100000000000216,-1.9000000000000057
climatology,24,cloud_cover,17.96666666666667,322.8011111111112,-17.96666666666667
climatology,24,wind_speed_100m,2.203333333333333,4.854677777777777,-2.203333333333333
climatology,24,wind_speed_10m,0.9566666666666668,0.9152111111111113,-0.9566666666666668
climatology,24,surface_pressure,0.9366666666667243,0.8773444444445524,-0.9366666666667243
climatology,24,precipitation,0.21,0.04409999999999999,-0.21
climatology,48,temperature_2m,0.07666666666666622,0.005877777777777708,0.07666666666666622
climatology,48,relative_humidity_2m,4.900000000000006,24.010000000000055,-4.900000000000006
climatology,48,cloud_cover,36.96666666666667,1366.5344444444445,-36.96666666666667
climatology,48,wind_speed_100m,2.403333333333333,5.776011111111109,-2.403333333333333
climatology,48,wind_speed_10m,1.7566666666666668,3.085877777777778,-1.7566666666666668
climatology,48,surface_pressure,0.8366666666667015,0.7000111111111694,-0.8366666666667015
climatology,48,precipitation,0.21,0.04409999999999999,-0.21
climatology,72,temperature_2m,0.7766666666666655,0.6032111111111093,0.7766666666666655
climatology,72,relative_humidity_2m,6.900000000000006,47.61000000000008,-6.900000000000006
climatology,72,cloud_cover,15.033333333333331,226.00111111111104,15.033333333333331
climatology,72,wind_speed_100m,2.203333333333333,4.854677777777777,-2.203333333333333
climatology,72,wind_speed_10m,1.6566666666666667,2.7445444444444447,-1.6566666666666667
climatology,72,surface_pressure,0.7366666666666788,0.5426777777777957,-0.7366666666666788
climatology,72,precipitation,0.21,0.04409999999999999,-0.21
mos,1,temperature_2m,0.5576200711438783,0.31094014374250395,0.5576200711438783
mos,1,relative_humidity_2m,4.909180237767117,24.100050606883208,4.909180237767117
mos,1,cloud_cover,0.0,0.0,0.0
mos,1,wind_speed_100m,3.850278288459841,14.824642898585244,3.850278288459841
